
"github.com/avast/retry-go","MIT"
"github.com/bitly/go-simplejson","MIT"
"github.com/go-logr/logr","Apache-2.0"
"github.com/onsi/gomega/format","MIT"
"github.com/fxamacker/cbor/v2","MIT"
"github.com/go-logr/logr","Apache-2.0"
"github.com/json-iterator/go","MIT"
"github.com/modern-go/concurrent","Apache-2.0"
"github.com/modern-go/reflect2","Apache-2.0"
"github.com/x448/float16","MIT"
"go.yaml.in/yaml/v2","Apache-2.0"
"golang.org/x/net","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/inf.v0","BSD-3-Clause"
"k8s.io/api/core/v1","Apache-2.0"
"k8s.io/apimachinery/pkg","Apache-2.0"
"k8s.io/apimachinery/third_party/forked/golang/reflect","BSD-3-Clause"
"k8s.io/klog/v2","Apache-2.0"
"k8s.io/kube-openapi/pkg/util","Apache-2.0"
"k8s.io/utils","Apache-2.0"
"k8s.io/utils/internal/third_party/forked/golang/net","BSD-3-Clause"
"sigs.k8s.io/json","Apache-2.0"
"sigs.k8s.io/json","BSD-3-Clause"
"sigs.k8s.io/randfill","Apache-2.0"
"sigs.k8s.io/structured-merge-diff/v6/value","Apache-2.0"
"github.com/fxamacker/cbor/v2","MIT"
"github.com/x448/float16","MIT"
"k8s.io/apimachinery/pkg/runtime/serializer/cbor/internal/modes","Apache-2.0"
"sigs.k8s.io/json","Apache-2.0"
"sigs.k8s.io/json","BSD-3-Clause"
"github.com/go-logr/logr","Apache-2.0"
"k8s.io/apimachinery/pkg","Apache-2.0"
"k8s.io/client-go/features","Apache-2.0"
"k8s.io/klog/v2","Apache-2.0"
"github.com/fxamacker/cbor/v2","MIT"
"github.com/go-logr/logr","Apache-2.0"
"github.com/json-iterator/go","MIT"
"github.com/modern-go/concurrent","Apache-2.0"
"github.com/modern-go/reflect2","Apache-2.0"
"github.com/x448/float16","MIT"
"go.yaml.in/yaml/v2","Apache-2.0"
"golang.org/x/net","BSD-3-Clause"
"golang.org/x/text","BSD-3-Clause"
"gopkg.in/inf.v0","BSD-3-Clause"
"k8s.io/apimachinery/pkg","Apache-2.0"
"k8s.io/apimachinery/third_party/forked/golang/reflect","BSD-3-Clause"
"k8s.io/klog/v2","Apache-2.0"
"k8s.io/kube-openapi/pkg/util","Apache-2.0"
"k8s.io/utils","Apache-2.0"
"k8s.io/utils/internal/third_party/forked/golang/net","BSD-3-Clause"
"sigs.k8s.io/controller-runtime/pkg/scheme","Apache-2.0"
"sigs.k8s.io/json","Apache-2.0"
"sigs.k8s.io/json","BSD-3-Clause"
"sigs.k8s.io/randfill","Apache-2.0"
"sigs.k8s.io/structured-merge-diff/v6/value","Apache-2.0"

